"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Ronald Jones","TB","CAR","5900","7.5%","51%","9%","11%","1.43"
"WR","Sammy Watkins","KC","@LAC","5900","3.0%","32%","4%","4%","1.27"
"WR","Mike Williams","LAC","KC","5800","0.5%","31%","4%","4%","7.52"
"TE","Tyler Higbee","LAR","@PHI","5800","3.0%","33%","6%","4%","1.41"
"RB","Jonathan Taylor","IND","MIN","5800","32.5%","65%","17%","21%","0.66"
"WR","Diontae Johnson","PIT","DEN","5800","12.5%","42%","7%","7%","0.59"
"WR","Anthony Miller","CHI","NYG","5700","3.0%","38%","6%","6%","1.85"
"RB","J.K. Dobbins","BAL","@HOU","5700","3.0%","36%","4%","4%","1.48"
"WR","Christian Kirk","ARI","WAS","5700","3.0%","32%","4%","4%","1.34"
"TE","Hayden Hurst","ATL","@DAL","5700","7.5%","33%","6%","4%","0.59"
"RB","David Montgomery","CHI","NYG","5600","0.5%","35%","3%","4%","8.58"
"WR","Sterling Shepard","NYG","@CHI","5600","0.5%","33%","4%","4%","7.70"
"RB","Cam Akers","LAR","@PHI","5600","0.5%","25%","1%","2%","3.30"
"WR","Allen Lazard","GB","DET","5600","3.0%","36%","5%","5%","1.69"
"WR","Brandin Cooks","HOU","BAL","5600","3.0%","30%","3%","3%","1.04"
"TE","T.J. Hockenson","DET","@GB","5600","7.5%","41%","9%","7%","0.89"
"WR","Kendrick Bourne","SF","@NYJ","5500","0.5%","27%","3%","3%","5.40"
"RB","Joshua Kelley","LAC","KC","5500","0.5%","28%","2%","2%","4.33"
"TE","Jimmy Graham","CHI","NYG","5500","0.5%","20%","2%","1%","2.88"
"WR","DeSean Jackson","PHI","LAR","5500","3.0%","37%","5%","5%","1.67"
"RB","Adrian Peterson","DET","@GB","5500","3.0%","30%","2%","2%","0.76"
"TE","Dallas Goedert","PHI","LAR","5500","7.5%","37%","8%","5%","0.72"
"RB","Nyheim Hines","IND","MIN","5500","7.5%","37%","4%","5%","0.60"
"TE","Rob Gronkowski","TB","CAR","5400","0.5%","29%","5%","3%","6.49"
"WR","Cole Beasley","BUF","@MIA","5400","0.5%","26%","2%","2%","4.27"
"WR","Preston Williams","MIA","BUF","5400","3.0%","39%","6%","6%","1.99"
"RB","Peyton Barber","WAS","@ARI","5400","0.5%","18%","1%","1%","1.39"
"WR","Russell Gage","ATL","@DAL","5400","3.0%","31%","3%","3%","1.12"
"RB","Frank Gore","NYJ","SF","5400","3.0%","27%","1%","2%","0.57"
"TE","Jack Doyle","IND","MIN","5300","0.5%","26%","4%","3%","5.21"
"WR","Jerry Jeudy","DEN","@PIT","5300","3.0%","40%","6%","6%","1.92"
"WR","Parris Campbell","IND","MIN","5300","3.0%","38%","6%","6%","1.91"
"WR","Darius Slayton","NYG","@CHI","5300","3.0%","38%","5%","5%","1.80"
"TE","Noah Fant","DEN","@PIT","5300","3.0%","36%","7%","5%","1.55"
"RB","James Robinson","JAX","@TEN","5300","7.5%","35%","2%","3%","0.38"
"TE","Mike Gesicki","MIA","BUF","5200","0.5%","33%","6%","4%","8.21"
"WR","Breshad Perriman","NYJ","SF","5200","0.5%","33%","4%","4%","7.91"
"WR","Curtis Samuel","CAR","@TB","5200","0.5%","31%","4%","4%","7.28"
"WR","Danny Amendola","DET","@GB","5200","0.5%","31%","3%","3%","6.30"
"WR","Scott Miller","TB","CAR","5200","0.5%","25%","2%","2%","4.09"
"WR","Larry Fitzgerald","ARI","WAS","5200","0.5%","26%","2%","2%","3.96"
"RB","D'Andre Swift","DET","@GB","5200","0.5%","23%","1%","1%","2.38"
"RB","Malcolm Brown","LAR","@PHI","5200","3.0%","39%","4%","5%","1.55"
"RB","Zack Moss","BUF","@MIA","5200","3.0%","35%","3%","3%","1.12"
"WR","CeeDee Lamb","DAL","ATL","5200","22.5%","46%","9%","9%","0.38"
"WR","Marquez Valdes-Scantling","GB","DET","5100","0.5%","34%","4%","4%","8.41"
"WR","Steven Sims","WAS","@ARI","5100","0.5%","35%","4%","4%","8.34"
"RB","Antonio Gibson","WAS","@ARI","5100","0.5%","36%","2%","3%","5.97"
"WR","Jalen Reagor","PHI","LAR","5100","0.5%","28%","3%","3%","5.29"
"TE","Chris Herndon","NYJ","SF","5100","3.0%","33%","5%","4%","1.23"
"WR","Willie Snead","BAL","@HOU","5100","0.5%","17%","1%","1%","1.22"
"RB","Jordan Howard","MIA","BUF","5100","0.5%","18%","0%","1%","1.20"
"TE","Ian Thomas","CAR","@TB","5000","0.5%","28%","4%","3%","5.59"
"RB","Tarik Cohen","CHI","NYG","5000","0.5%","33%","2%","2%","4.92"
"TE","Kyle Rudolph","MIN","@IND","5000","0.5%","23%","2%","2%","3.39"
"WR","Mecole Hardman","KC","@LAC","5000","0.5%","22%","1%","1%","2.54"
"RB","Tevin Coleman","SF","@NYJ","5000","0.5%","22%","1%","1%","2.09"
"RB","Chase Edmonds","ARI","WAS","5000","0.5%","20%","1%","1%","1.72"
"DEF","San Francisco 49ers","SF","@NYJ","5000","12.5%","44%","6%","17%","1.34"
"RB","Kerryon Johnson","DET","@GB","5000","0.5%","13%","0%","0%","0.47"
"WR","Cordarrelle Patterson","CHI","NYG","5000","0.5%","13%","0%","0%","0.45"
"WR","Zach Pascal","IND","MIN","5000","0.5%","7%","0%","0%","0.10"
"WR","J.J. Arcega-Whiteside","PHI","LAR","5000","0.5%","3%","0%","0%","0.02"
"WR","Laviska Shenault","JAX","@TEN","4900","0.5%","35%","5%","4%","8.93"
"WR","Corey Davis","TEN","JAX","4900","0.5%","36%","4%","4%","8.69"
"TE","Eric Ebron","PIT","DEN","4900","0.5%","28%","4%","3%","5.29"
"WR","James Washington","PIT","DEN","4900","0.5%","28%","2%","2%","4.94"
"WR","Olabisi Johnson","MIN","@IND","4900","0.5%","28%","2%","2%","4.80"
"RB","Myles Gaskin","MIA","BUF","4900","0.5%","29%","2%","2%","3.77"
"RB","Jerick McKinnon","SF","@NYJ","4900","0.5%","26%","1%","1%","2.78"
"WR","Randall Cobb","HOU","BAL","4900","0.5%","19%","1%","1%","1.73"
"RB","Josh Adams","NYJ","SF","4900","0.5%","21%","1%","1%","1.67"
"TE","Jonnu Smith","TEN","JAX","4900","3.0%","37%","7%","5%","1.56"
"DEF","Buffalo Bills","BUF","@MIA","4900","12.5%","46%","7%","18%","1.47"
"WR","Chris Conley","JAX","@TEN","4900","0.5%","7%","0%","0%","0.11"
"WR","Greg Ward","PHI","LAR","4900","0.5%","7%","0%","0%","0.09"
"RB","Darrell Henderson","LAR","@PHI","4900","0.5%","3%","0%","0%","0.01"
"TE","O.J. Howard","TB","CAR","4800","0.5%","33%","5%","4%","7.36"
"TE","Jordan Reed","SF","@NYJ","4800","0.5%","24%","3%","2%","3.66"
"WR","Keelan Cole","JAX","@TEN","4800","0.5%","24%","2%","2%","3.07"
"RB","Jamaal Williams","GB","DET","4800","0.5%","25%","1%","1%","2.39"
"RB","Darrel Williams","KC","@LAC","4800","0.5%","18%","0%","1%","1.14"
"RB","Tony Pollard","DAL","ATL","4800","0.5%","15%","0%","0%","0.64"
"RB","Duke Johnson","HOU","BAL","4800","0.5%","13%","0%","0%","0.42"
"WR","Marvin Hall","DET","@GB","4800","0.5%","12%","0%","0%","0.40"
