"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"WR","C.J. Board","NYG","@DAL","28","4500","4500","7.50","0","4500","0"
"TE","Dan Arnold","ARI","@NYJ","12","4200","4200","7.00","0","4300","-100"
"WR","Geronimo Allison","DET","BYE","0","4500","--","7.50","0","4500","--"
"WR","Danny Amendola","DET","BYE","0","5100","--","8.50","0","5100","--"
"RB","Nick Bawden","DET","BYE","0","4500","--","7.50","0","4500","--"
"QB","Tom Brady","TB","@CHI","5","7500","7500","12.50","0","7300","200"
"WR","Damiere Byrd","NE","BYE","0","4600","4600","7.67","0","4500","100"
"RB","Brandon Bolden","NE","BYE","0","4500","4500","7.50","0","4500","0"
"QB","Jacoby Brissett","IND","@CLE","30","6000","6000","10.00","0","6000","0"
"TE","Daniel Brown","NYJ","ARI","20","4000","4000","6.67","0","4000","0"
"WR","Ventell Bryant","DAL","NYG","19","4500","4500","7.50","0","4500","0"
"RB","Michael Burton","NO","LAC","7","4500","4500","7.50","0","4500","0"
"WR","Hakeem Butler","PHI","@PIT","29","4500","4500","7.50","0","4500","0"
"RB","Raymond Calais","LAR","@WAS","12","4500","4500","7.50","0","4500","0"
"WR","Marquez Callaway","NO","LAC","9","4500","4500","7.50","0","4500","0"
"RB","Trenton Cannon","CAR","@ATL","22","4500","4500","7.50","0","4500","0"
"TE","Stephen Carlson","CLE","IND","8","4000","4000","6.67","0","4000","0"
"TE","Derek Carrier","LV","@KC","15","4000","4000","6.67","0","4000","0"
"QB","Tim Boyle","GB","BYE","0","6000","--","10.00","0","6000","--"
"TE","Hunter Bryant","DET","BYE","0","4000","--","6.67","0","4000","--"
"TE","Cethan Carter","CIN","@BAL","23","4000","4000","6.67","0","4000","0"
"WR","Tyrie Cleveland","DEN","BYE","0","4500","4500","7.50","0","4500","0"
"WR","Dan Chisena","MIN","@SEA","32","4500","4500","7.50","0","4500","0"
"TE","Tyler Conklin","MIN","@SEA","7","4000","4000","6.67","0","4000","0"
"WR","Cody Core","NYG","@DAL","28","4500","4500","7.50","0","4500","0"
"WR","Isaiah Coulter","HOU","JAX","15","4500","4500","7.50","0","4500","0"
"RB","Chandler Cox","MIA","@SF","11","4500","4500","7.50","0","4500","0"
"QB","Andy Dalton","DAL","NYG","9","6000","6000","10.00","0","6000","0"
"TE","Darrell Daniels","ARI","@NYJ","12","4000","4000","6.67","0","4000","0"
"RB","Corey Clement","PHI","@PIT","15","4500","4500","7.50","0","4600","-100"
"WR","Christian Blake","ATL","CAR","8","4700","4700","7.83","0","4900","-200"
"QB","Chase Daniel","DET","BYE","0","6000","--","10.00","0","6000","--"
"WR","Rashard Davis","TEN","BUF","26","4500","--","7.50","0","--","--"
"TE","Josiah Deguara","GB","BYE","0","4000","--","6.67","0","4000","--"
"TE","Garrett Dickerson","NYG","@DAL","26","4000","--","6.67","0","--","--"
"WR","Mike Evans","TB","@CHI","7","7500","7500","12.50","0","7400","100"
"QB","Ben DiNucci","DAL","NYG","9","6000","6000","10.00","0","6000","0"
"WR","Josh Doctson","NYJ","ARI","11","4500","4500","7.50","0","4500","0"
"WR","Keelan Doss","LV","@KC","5","4500","4500","7.50","0","4500","0"
"RB","Rico Dowdle","DAL","NYG","16","4500","4500","7.50","0","4500","0"
"WR","Ashton Dulin","IND","@CLE","30","4500","4500","7.50","0","4500","0"
"QB","Jacob Eason","IND","@CLE","30","6000","6000","10.00","0","6000","0"
"QB","Ryan Finley","CIN","@BAL","23","6000","6000","10.00","0","6000","0"
"QB","Joe Flacco","NYJ","ARI","24","6000","6000","10.00","0","6000","0"
"RB","J.K. Dobbins","BAL","CIN","18","5200","5200","8.67","0","5700","-500"
"RB","Tyler Ervin","GB","BYE","0","4600","--","7.67","0","4600","--"
"WR","Isaiah Ford","MIA","@SF","16","4600","4600","7.67","0","4600","0"
"TE","Jordan Franks","CIN","@BAL","23","4000","--","6.67","0","4000","--"
"QB","Jake Fromm","BUF","@TEN","28","6000","6000","10.00","0","6000","0"
"QB","Blaine Gabbert","TB","@CHI","5","6000","6000","10.00","0","6000","0"
"WR","Marquise Goodwin","PHI","@PIT","29","4500","4500","7.50","0","4500","0"
"WR","Devin Funchess","GB","BYE","0","4500","--","7.50","0","4500","--"
"TE","Zach Gentry","PIT","PHI","30","4000","4000","6.67","0","4000","0"
"RB","Cullen Gillaspia","HOU","JAX","30","4500","4500","7.50","0","4500","0"
"QB","Mike Glennon","JAX","@HOU","8","6000","6000","10.00","0","6000","0"
"QB","Will Grier","CAR","@ATL","32","6000","6000","10.00","0","6000","0"
"TE","Garrett Griffin","NO","LAC","24","4000","4000","6.67","0","4000","0"
"WR","Kenny Golladay","DET","BYE","0","7300","--","12.17","0","7300","--"
"WR","Devin Gray","ATL","CAR","8","4500","--","7.50","0","--","--"
"QB","Robert Griffin III","BAL","CIN","15","6000","6000","10.00","0","6000","0"
"QB","Ryan Griffin","TB","@CHI","5","6000","6000","10.00","0","6000","0"
"WR","Emanuel Hall","WAS","LAR","1","4500","4500","7.50","0","4500","0"
"RB","C.J. Ham","MIN","@SEA","1","4500","4500","7.50","0","4500","0"
"WR","Kelvin Harmon","WAS","LAR","1","4500","4500","7.50","0","4500","0"
"RB","Damien Harris","NE","BYE","0","4500","4500","7.50","0","4500","0"
"WR","Penny Hart","SEA","MIN","31","4500","4500","7.50","0","4500","0"
"TE","Temarrick Hemingway","CAR","@ATL","32","4000","4000","6.67","0","4000","0"
"QB","Chad Henne","KC","LV","7","6000","6000","10.00","0","6000","0"
"TE","Cole Hikutini","DAL","NYG","2","4000","4000","6.67","0","4000","0"
"TE","Josh Hill","NO","LAC","24","4200","4200","7.00","0","4200","0"
"WR","Deonte Harris","NO","LAC","9","4600","4600","7.67","0","4700","-100"
"TE","Hunter Henry","LAC","@NO","29","6000","6000","10.00","0","6100","-100"
"RB","Brian Hill","ATL","CAR","32","4800","4800","8.00","0","4900","-100"
"WR","KJ Hill","LAC","@NO","4","4500","4500","7.50","0","4600","-100"
"RB","Josh Jacobs","LV","@KC","19","8200","8200","13.67","0","8000","200"
"WR","Isaiah Hodgins","BUF","@TEN","21","4500","4500","7.50","0","4500","0"
"WR","Mack Hollins","MIA","@SF","16","4500","4500","7.50","0","4500","0"
"TE","J.P. Holtz","CHI","TB","14","4000","4000","6.67","0","4000","0"
"TE","Brycen Hopkins","LAR","@WAS","25","4000","4000","6.67","0","4000","0"
"RB","Buddy Howell","HOU","JAX","30","4500","4500","7.50","0","4500","0"
"TE","Tanner Hudson","TB","@CHI","21","4000","4000","6.67","0","4000","0"
"QB","Brett Hundley","ARI","@NYJ","13","6000","6000","10.00","0","6000","0"
"RB","Jason Huntley","PHI","@PIT","15","4500","4500","7.50","0","4500","0"
"QB","Jalen Hurts","PHI","@PIT","27","6000","6000","10.00","0","6000","0"
"RB","Alec Ingold","LV","@KC","19","4500","4500","7.50","0","4500","0"
"WR","Trishton Jackson","LAR","@WAS","13","4500","4500","7.50","0","4500","0"
"RB","Andy Janovich","CLE","IND","4","4500","4500","7.50","0","4500","0"
"TE","Travis Kelce","KC","LV","19","7800","7800","13.00","0","7600","200"
"TE","Chris Manhertz","CAR","@ATL","32","4100","4100","6.83","0","4000","100"
"WR","Isaiah McKenzie","BUF","@TEN","21","4600","4600","7.67","0","4500","100"
"WR","Alshon Jeffery","PHI","@PIT","29","5000","5000","8.33","0","5000","0"
"RB","Jakob Johnson","NE","BYE","0","4500","4500","7.50","0","4500","0"
"RB","Ty Johnson","NYJ","ARI","17","4500","4500","7.50","0","4500","0"
"RB","Taiwan Jones","BUF","@TEN","26","4500","4500","7.50","0","4500","0"
"RB","Xavier Jones","LAR","@WAS","12","4500","4500","7.50","0","4500","0"
"TE","Dalton Keene","NE","BYE","0","4000","4000","6.67","0","4000","0"
"QB","Case Keenum","CLE","IND","1","6000","6000","10.00","0","6000","0"
"WR","Keith Kirkwood","CAR","@ATL","2","4500","4500","7.50","0","4500","0"
"WR","Van Jefferson","LAR","@WAS","13","4600","4600","7.67","0","4700","-100"
"WR","Collin Johnson","JAX","@HOU","12","4500","4500","7.50","0","4600","-100"
"TE","Charles Jones","JAX","@HOU","16","4000","--","6.67","0","--","--"
"WR","Tom Kennedy","DET","BYE","0","4500","--","7.50","0","4500","--"
"WR","Darvin Kidsy","WAS","LAR","1","4500","--","7.50","0","--","--"
"WR","Cooper Kupp","LAR","@WAS","13","7200","7200","12.00","0","7200","0"
"TE","Matt LaCosse","NE","BYE","0","4000","4000","6.67","0","4000","0"
"WR","Marqise Lee","NE","BYE","0","4500","4500","7.50","0","4500","0"
"QB","Jake Luton","JAX","@HOU","8","6000","6000","10.00","0","6000","0"
"WR","Austin Mack","NYG","@DAL","28","4500","4500","7.50","0","4500","0"
"QB","Marcus Mariota","LV","@KC","6","6000","6000","10.00","0","6000","0"
"QB","Colt McCoy","NYG","@DAL","22","6000","6000","10.00","0","6000","0"
"RB","Anthony McFarland","PIT","PHI","8","4500","4500","7.50","0","4500","0"
"TE","Marcedes Lewis","GB","BYE","0","4300","--","7.17","0","4300","--"
"RB","T.J. Logan","TB","@CHI","20","4500","4500","7.50","0","4500","0"
"RB","Bryce Love","WAS","LAR","28","4500","4500","7.50","0","4500","0"
"WR","Josh Malone","NYJ","ARI","11","4500","4500","7.50","0","4500","0"
"QB","Sean Mannion","MIN","@SEA","31","6000","6000","10.00","0","6000","0"
"QB","AJ McCarron","HOU","JAX","26","6000","6000","10.00","0","6200","-200"
"QB","Jordan Love","GB","BYE","0","6000","--","10.00","0","6000","--"
"TE","Codey McElroy","TB","@CHI","21","4000","--","6.67","0","--","--"
"WR","David Moore","SEA","MIN","31","4900","4900","8.17","0","4600","300"
"RB","Jeremy McNichols","TEN","BUF","14","4500","4500","7.50","0","4500","0"
"QB","Trace McSorley","BAL","CIN","15","6000","6000","10.00","0","6000","0"
"WR","Anthony Miller","CHI","TB","22","5500","5500","9.17","0","5500","0"
"WR","Jason Moore","LAC","@NO","4","4500","4500","7.50","0","4500","0"
"QB","James Morgan","NYJ","ARI","24","6000","6000","10.00","0","6000","0"
"TE","Thaddeus Moss","WAS","LAR","18","4000","4000","6.67","0","4000","0"
"TE","Johnny Mundt","LAR","@WAS","25","4000","4000","6.67","0","4000","0"
"RB","Ryan Nall","CHI","TB","2","4500","4500","7.50","0","4500","0"
"WR","JoJo Natson","CLE","IND","3","4500","4500","7.50","0","4500","0"
